Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,10866691,"In akr1Delta cells, Yck2p is mislocalized, showing a diffuse cytoplasmic localization identical to that seen for a Yck2p mutant that lacks the C-terminal Cys-Cys, indicating a likely Akr1p requirement for the lipid modification of Yck2p, for prenylation, or possibly for palmitoylation."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,17435760,"The NLRs NALP3 and IPAF, for example, can each form a multiprotein proinflammatory complex called the 'inflammasome', and mutations in the gene encoding Nod2, another NLR, are positively associated with Crohn disease."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,22595670,Rab GTPases define the vesicle trafficking pathways underpinning cell polarization and migration.
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,22595670,This Rab14 intermediate recycling compartment has specific functions in migrating cells discrete from early and recycling endosomes.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,activates,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,19422020,"In this report, we have extended this early observation by functionally dissecting the C-terminal segment of the Optix protein and (1) demonstrated that while the CT is necessary for inhibiting eye development, it also requires the activity of the protein-protein interaction and DNA binding regions; (2) identified that regions A, C, and D of the CT are required for blocking retinal formation; (3) shown that region D is specifically conserved just within the Drosophilids; (4) demonstrated that the CT is required for the ability of Optix to induce ectopic eyes; (5) shown that none of the vertebrate SIX proteins are capable of inducing ectopic eyes in flies; and (6) demonstrated that in addition to so homologs, expression of DSix4 and Six4 can also rescue so1 loss-of-function mutants."
Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,unknown,Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,18838202,Differential responses of FLIPLong and FLIPShort-overexpressing human myeloid leukemia cells to TNF-alpha and TRAIL-initiated apoptotic signals.
Tumor necrosis factor,Tumor necrosis factor ligand superfamily member 10,unknown,Tumor necrosis factor,Tumor necrosis factor ligand superfamily member 10,18838202,Clonal marrow cells from patients with early myelodysplastic syndrome (MDS) undergo apoptosis in response to tumor necrosis factor (TNF)-related apoptosis-inducing ligand (TRAIL).
Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,regulates,Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,18838202,"Two isoforms of the Flice inhibitory protein (FLIP) short (FLIPS) and FLIP long (FLIPL), which modulate TRAIL signals, showed disease-stage-dependent differential regulation."
Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,unknown,Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,18838202,"Therefore, we aimed at characterizing potential differential effects of FLIPL and FLIPS, on TRAIL and TNF-alpha-induced apoptosis in model leukemic cell lines."
Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,unknown,Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,18838202,Overexpression of FLIP reduced TRAIL and TNF-alpha-induced apoptosis in ML-1 cells.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,18838202,"Further, inhibition of nuclear factor-kappaB (NF-kappaB) activation in TNF-alpha-treated cells resulted in profound apoptosis in FLIPS, but not in FLIPL-overexpressing cells, consistent with the observations in patients with early stage MDS."
Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,unknown,Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor ligand superfamily member 10,18838202,"Thus, FLIPL and FLIPS exerted differential effects in myeloid leukemic cell lines in response to TRAIL and TNF-alpha."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,18838202,It might be possible to therapeutically exploit those differences with effector molecules specific for the FLIP isoforms.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,18838202,It might be possible to therapeutically exploit those differences with effector molecules specific for the FLIP isoforms.
C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,unknown,C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,18838202,It might be possible to therapeutically exploit those differences with effector molecules specific for the FLIP isoforms.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15886116,Results from mice deficient in one or more Vav proteins has shown that they play critical roles in T-cell development and activation.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,regulates,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,10625644,SP-A concentrations are influenced by both cell-specific and ubiquitous nuclear proteins that regulate SP-A gene transcription in a cell-selective and temporally regulated manner.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19017259,"Cell culture derived TFPI and recombinant TFPI (rTFPI) exhibit variations in their respective anticoagulant activity, which may be caused by post-translational modifications, such as the frequent differences in sugar chain structures among recombinant proteins."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,23022657,We also wanted to determine if the interaction with ABI-1 is isoform specific with respect to MIG-10.
C-C motif chemokine 3,C-C motif chemokine 7,unknown,C-C motif chemokine 3,C-C motif chemokine 7,15080793,SJ-1 significantly attenuated the generation of Ca2+ oscillations induced by ATP and the 5-Pase domain mimicked this effect.
C-C motif chemokine 3,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 3,Fms-related tyrosine kinase 3 ligand,15080793,"Overexpression of the endoplasmic reticulum-anchored PtdIns(4)P phosphatase Sac1 did not affect Ca2+ oscillations, although it increased the Ca2+ efflux rate from intracellular stores."
C-C motif chemokine 3,Lymphotoxin-alpha,unknown,C-C motif chemokine 3,Lymphotoxin-alpha,15080793,"Overexpression of the endoplasmic reticulum-anchored PtdIns(4)P phosphatase Sac1 did not affect Ca2+ oscillations, although it increased the Ca2+ efflux rate from intracellular stores."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,15080793,"Overexpression of the endoplasmic reticulum-anchored PtdIns(4)P phosphatase Sac1 did not affect Ca2+ oscillations, although it increased the Ca2+ efflux rate from intracellular stores."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15080793,"The ability of SJ-1 to alter intracellular Ca2+ signalling indicates a close functional interrelationship between plasma membrane PtdIns(4,5)P2 pools that control actin and endocytosis and those involved in the regulation of specific spatio-temporal Ca2+ signals."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,28152516,Nuclear/cytoplasmic distribution and phosphorylation of YAP significantly influence its stabilization.
C-C motif chemokine 7,Tumor necrosis factor,unknown,C-C motif chemokine 7,Tumor necrosis factor,28152516,"We observed that, after 6 hours of CHX treatment, TNFAIP8 overexpression significantly upregulated total YAP protein."
Lymphotoxin-alpha,Tumor necrosis factor,unknown,Lymphotoxin-alpha,Tumor necrosis factor,28152516,These results indicate that the half-life of endogenous YAP increased with TNFAIP8 transfection and decreased after siRNA treatment.
Lymphotoxin-alpha,Tumor necrosis factor,unknown,Lymphotoxin-alpha,Tumor necrosis factor,28152516,"Based on the above results, we assumed that TNFAIP8 could stabilize the YAP protein and thus increase its steady-state protein level and nuclear localization, leading to inhibition of Hippo signaling."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21283673,Alterations in the U2 snRNA secondary structure failed to produce significant changes in the 6-AU sensitivity of these strains (data not shown and Table 1).
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20463880,"The Rad5 helicase activity, but not its RING finger, was required to prevent duplication-mediated GCRs, although the function of Rad5 remained dependent upon modification of PCNA at Lys164."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22865860,Modification of both proteins was attempted using human N-myristoyltransferase and [(3)H]myristoyl-CoA.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,23533635,"Such effectors may include SGTA, and the resulting assemblies influence the subsequent fate of the hydrophobic BAG6 substrates."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11134534,These results suggest that PKN plays a significant role in the control of mitotic timing by inhibition of Cdc25C.
Lymphotoxin-alpha,Macrophage metalloelastase,regulates,Lymphotoxin-alpha,Macrophage metalloelastase,11707585,Fringe modulates Notch signaling resulting in the establishment of compartmental boundaries in developing organisms.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11707585,"Although the beta 3GlcNAcT activity of manic or lunatic fringe is shown to be necessary for inhibition of Jagged1-induced Notch signaling in a coculture assay, it is not sufficient."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17948059,We find that histone H3 K36 tri-methylation requires specific components of the Paf1 complex and that K36 tri-methylation is more strongly affected at the 5' ends of genes in paf1delta and bur2delta strains in parallel with increased acetylation of histones H3 and H4.
C-C motif chemokine 3,Lymphotoxin-alpha,unknown,C-C motif chemokine 3,Lymphotoxin-alpha,18391200,"Having solved the quaternary structure of the folded domains in the tumor suppressor p53 by a multidisciplinary approach, we have now determined the average ensemble structure of the intrinsically disordered N-terminal transactivation domain (TAD) by using residual dipolar couplings (RDCs) from NMR spectroscopy and small-angle x-ray scattering (SAXS)."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,21807881,"These results suggest that COG directly interacts with specific t-SNAREs and positively regulates SNARE complex assembly, thereby affecting their associated trafficking steps."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,17766642,Identification of the substrate binding region of vesicular monoamine transporter-2 (VMAT-2) using iodoaminoflisopolol as a novel photoprobe.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,17766642,"Based on our previous studies using photoaffinity-labeling techniques in characterizing the VMAT2-specific ligands ketanserin and tetrabenazine, this study describes the synthesis and characterization of a fluorenone-based compound, iodoaminoflisopolol (IAmF), as a photoprobe to identify the substrate binding site(s) of VMAT2."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,26151477,Here we show that RNF111 is required for efficient repair of ultraviolet-induced DNA lesions.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,28806752,"As indicated in Fig 1D, although total plasma MP concentration is not significantly altered in Bin1 HT mice (Fig 1D, left panel), the plasma concentration of cBIN1-MPs (Fig 1D, right panel; representative flow scatter plots against IgG isotype control are in S1C Fig) in Bin1 HT mice (251.8 +/- 48.3 MPs/ml) is significantly decreased by 47% from WT mice (470.4 +/- 67.8 MPs/ml) (p < 0.05) (Fig 1D)."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,28806752,"As indicated in Fig 1D, although total plasma MP concentration is not significantly altered in Bin1 HT mice (Fig 1D, left panel), the plasma concentration of cBIN1-MPs (Fig 1D, right panel; representative flow scatter plots against IgG isotype control are in S1C Fig) in Bin1 HT mice (251.8 +/- 48.3 MPs/ml) is significantly decreased by 47% from WT mice (470.4 +/- 67.8 MPs/ml) (p < 0.05) (Fig 1D)."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,28806752,"As indicated in Fig 1D, although total plasma MP concentration is not significantly altered in Bin1 HT mice (Fig 1D, left panel), the plasma concentration of cBIN1-MPs (Fig 1D, right panel; representative flow scatter plots against IgG isotype control are in S1C Fig) in Bin1 HT mice (251.8 +/- 48.3 MPs/ml) is significantly decreased by 47% from WT mice (470.4 +/- 67.8 MPs/ml) (p < 0.05) (Fig 1D)."
